State,Model,RMSE,MAE,MAPE,is_best
Pennsylvania,XGBoost,5134398.603912404,1195297.6835072231,0.3245744512193522,False
Rhode Island,SARIMA,334584.06492084643,68645.54563814541,0.2600474837047474,True
Rhode Island,Prophet,651430.9997019747,535182.8502582556,2.1210734366685053,False
Rhode Island,XGBoost,347038.9267927421,133595.9029293738,0.5157687688836272,False
South Carolina,SARIMA,3442974.5488265795,717757.4938353731,0.3623100434042258,True
South Carolina,Prophet,4237678.403577793,2803221.8435138897,1.4809903240351252,False
South Carolina,XGBoost,3448974.653300042,997452.5370385227,0.5138579484523522,False
South Dakota,SARIMA,175543.83556399317,93689.86736509496,0.3317267681971588,True
South Dakota,Prophet,989205.3295649331,928864.5463026508,3.299694321742044,False
South Dakota,XGBoost,226252.9863495415,126403.17760834703,0.44805005963372546,False
Tennessee,SARIMA,3598529.260198448,864393.5155955313,0.33117658317657117,False
Tennessee,Prophet,4605327.332592557,3070026.311019614,1.20969870311218,False
Tennessee,XGBoost,3543376.315241369,1114606.482564205,0.43200555032092613,True
Texas,SARIMA,16111637.477115529,3460752.6665546596,0.3760423847501689,True
Texas,Prophet,19016602.69473122,9820562.072582813,1.1081674466781894,False
Texas,XGBoost,16931031.249771103,3900801.2062399536,0.42515916538091725,False
Utah,SARIMA,1137665.4967431722,338759.9069102667,0.40261624407993085,True
Utah,Prophet,1760034.9339431426,1147138.5767077082,1.395985373800641,False
Utah,XGBoost,1261798.364655089,424441.57682583696,0.5058346941999631,False
Vermont,SARIMA,104458.55192198219,21558.554565121154,0.1180824985338787,True
Vermont,Prophet,557636.4430814945,477254.34317709634,2.669759961838878,False
Vermont,XGBoost,109199.90286077368,41211.83691813824,0.22818743639365924,False
Virginia,SARIMA,4993744.1012033895,988968.4096175773,0.33378843288132004,True
Virginia,Prophet,6108308.416248175,4146774.112893325,1.4775037836111897,False
Virginia,XGBoost,5068473.716052932,1341502.9749598727,0.4601759255776915,False
Washington,SARIMA,1912918.632443154,364348.7752174613,0.19260722194691032,True
Washington,Prophet,3255098.007107445,2548244.5762404925,1.3929545463162423,False
Washington,XGBoost,1993451.4443745124,768344.5615770498,0.41503605913551883,False
West Virginia,SARIMA,894077.9845739204,198294.7277904975,0.26087162044385215,True
West Virginia,Prophet,1196665.2175403417,903017.172401185,1.2223610592107086,False
West Virginia,XGBoost,953842.021739092,338124.2020465423,0.4485687199898003,False
Wisconsin,SARIMA,1536086.6085270373,385671.2852009066,0.24576030616098496,True
