State,Date,Forecast,BestModel
Georgia,2023-12-27,361130808.2745809,SARIMA
Georgia,2023-12-28,361018228.4604875,SARIMA
Georgia,2023-12-29,360906659.3480017,SARIMA
Georgia,2023-12-30,360795736.2971001,SARIMA
Georgia,2023-12-31,360685226.2222609,SARIMA
Georgia,2024-01-01,360580489.61448526,SARIMA
Georgia,2024-01-02,360463035.61299914,SARIMA
Georgia,2024-01-03,360348872.78335476,SARIMA
Georgia,2024-01-04,360236295.7505007,SARIMA
Georgia,2024-01-05,360124746.1700533,SARIMA
Georgia,2024-01-06,360013853.3586508,SARIMA
Georgia,2024-01-07,359903380.3677433,SARIMA
Georgia,2024-01-08,359798658.3085541,SARIMA
Georgia,2024-01-09,359681220.7718182,SARIMA
Georgia,2024-01-10,359567063.62292254,SARIMA
Georgia,2024-01-11,359454485.92213744,SARIMA
Georgia,2024-01-12,359342931.6010624,SARIMA
Georgia,2024-01-13,359232031.44567955,SARIMA
Georgia,2024-01-14,359121549.4466741,SARIMA
Georgia,2024-01-15,359016823.85397613,SARIMA
Georgia,2024-01-16,358899382.31769776,SARIMA
Georgia,2024-01-17,358785223.7891057,SARIMA
Georgia,2024-01-18,358672646.25094604,SARIMA
Georgia,2024-01-19,358561093.08190084,SARIMA
Georgia,2024-01-20,358450194.71099573,SARIMA
Georgia,2024-01-21,358339714.900742,SARIMA
Georgia,2024-01-22,358234990.1666239,SARIMA
Georgia,2024-01-23,358117549.60213524,SARIMA
Georgia,2024-01-24,358003391.40878594,SARIMA
Georgia,2024-01-25,357890813.83112866,SARIMA
Georgia,2024-01-26,357779260.38218874,SARIMA
Georgia,2024-01-27,357668361.5777221,SARIMA
Georgia,2024-01-28,357557881.2356797,SARIMA
Illinois,2023-12-04,316825628.32825196,SARIMA
Illinois,2023-12-05,316594677.2379138,SARIMA
Illinois,2023-12-06,316372971.49199474,SARIMA
Illinois,2023-12-07,316156882.7884711,SARIMA
Illinois,2023-12-08,315944465.96749485,SARIMA
Illinois,2023-12-09,315734445.52947754,SARIMA
Illinois,2023-12-10,315525989.0443403,SARIMA
Illinois,2023-12-11,315324825.24731517,SARIMA
Illinois,2023-12-12,315103220.35910934,SARIMA
Illinois,2023-12-13,314885442.5928166,SARIMA
Illinois,2023-12-14,314669858.22285616,SARIMA
Illinois,2023-12-15,314455709.7324897,SARIMA
Illinois,2023-12-16,314242498.3411034,SARIMA
Illinois,2023-12-17,314029898.5291991,SARIMA
Illinois,2023-12-18,313827245.9971899,SARIMA
Illinois,2023-12-19,313603543.6512683,SARIMA
Illinois,2023-12-20,313384982.9904057,SARIMA
Illinois,2023-12-21,313169443.307286,SARIMA
Illinois,2023-12-22,312955880.0476608,SARIMA
Illinois,2023-12-23,312743606.66251296,SARIMA
Illinois,2023-12-24,312532175.0889363,SARIMA
Illinois,2023-12-25,312329957.05478424,SARIMA
Illinois,2023-12-26,312106842.0659499,SARIMA
Illinois,2023-12-27,311888506.62055564,SARIMA
Illinois,2023-12-28,311672963.9955439,SARIMA
Illinois,2023-12-29,311459248.77311075,SARIMA
Illinois,2023-12-30,311246726.1695432,SARIMA
Illinois,2023-12-31,311034981.90555733,SARIMA
Illinois,2024-01-01,310832648.28510505,SARIMA
Illinois,2024-01-02,310609375.8896812,SARIMA
Illinois,2024-01-03,310390980.3790361,SARIMA
Illinois,2024-01-04,310175439.0075289,SARIMA
Illinois,2024-01-05,309961765.08905524,SARIMA
Illinois,2024-01-06,309749309.9276001,SARIMA
Illinois,2024-01-07,309537650.1642854,SARIMA
Illinois,2024-01-08,309335347.81574476,SARIMA
Illinois,2024-01-09,309112117.94758344,SARIMA
Illinois,2024-01-10,308893738.679795,SARIMA
Illinois,2024-01-11,308678196.99323773,SARIMA
Illinois,2024-01-12,308464511.9448939,SARIMA
Illinois,2024-01-13,308252038.595486,SARIMA
Illinois,2024-01-14,308040356.03789777,SARIMA
Illinois,2024-01-15,307838045.25549924,SARIMA
Illinois,2024-01-16,307614803.915001,SARIMA
Illinois,2024-01-17,307396420.26621276,SARIMA
Illinois,2024-01-18,307180878.6658341,SARIMA
Illinois,2024-01-19,306967196.6214131,SARIMA
Illinois,2024-01-20,306754728.1801372,SARIMA
Illinois,2024-01-21,306543051.7734262,SARIMA
Illinois,2024-01-22,306340743.2669377,SARIMA
Illinois,2024-01-23,306117505.0221451,SARIMA
Illinois,2024-01-24,305899122.55556726,SARIMA
Illinois,2024-01-25,305683580.93199414,SARIMA
Illinois,2024-01-26,305469898.0770666,SARIMA
Illinois,2024-01-27,305257428.3114603,SARIMA
Illinois,2024-01-28,305045750.24508166,SARIMA
Indiana,2023-12-04,218044813.67321157,SARIMA
Indiana,2023-12-05,217898291.5241684,SARIMA
